,Team Name,Name,League,Wins,Losses,Points For,Points Against,Point Differential,League Rank,Streak,Draft Position,Draft Grade,Roster Moves,Number of Trades
1,Anneimals,redacted,Masters 1k,8,6,1551.84,1316.86,234.98,5,W2,2,,4,0
2,Futbol is Life!,redacted,6 U Court,11,3,1539.44,1151.18,388.26,1,W3,5,A-,15,0
3,elbastardocalvo,redacted,Masters 1k,11,3,1536.84,1220,316.84,1,W1,1,,36,1
4,Show Me Your TDs,redacted,VRA 2022,10,4,1522.28,1182.48,339.8,2,W3,9,B,20,0
5,Panic Stations,redacted,Orange and Blue,10,4,1518,1240.42,277.58,2,W1,4,,24,0
6,Yummy Wummy Steady State,redacted,VRA 2022,10,4,1510.44,1311.18,199.26,3,W10,10,B-,10,0
7,Erin's Expert Team,redacted,Masters 1k,9,5,1500.94,1299.92,201.02,3,W6,9,,7,0
8,MosiTatupuMosiTatupu,redacted,6 U Court,9,5,1498.24,1423.38,74.86,3,W2,3,B-,12,0
9,Explain me this,redacted,Crank City,10,4,1491.28,1267.52,223.76,2,W3,1,C-,6,0
10,Big Sister,redacted,Orange and Blue,12,2,1490.82,1264.54,226.28,1,W4,3,,12,0
11,Riley Read Option,redacted,Barn Szn Pass,9,5,1490.78,1377.2,113.58,4,W1,4,A-,25,0
12,Chuck,redacted,Barn Szn Pass,10,4,1477.76,1287.16,190.6,1,L1,2,C+,15,0
13,Denver Sharps,redacted,Stump Field,7,7,1471.38,1390.92,80.46,6,W2,8,B,11,0
14,Marvin Hemeyer Memorial Team,redacted,VRA 2022,11,3,1468.04,1254.44,213.6,1,W3,2,A-,13,0
15,LBC Highlanders,redacted,Masters 1k,10,4,1468,1249.16,218.84,2,L3,5,,11,0
16,Crew House South,redacted,Crank City,8,6,1467.74,1390.44,77.3,4,W4,8,B-,28,0
17,Reigny Daze,redacted,Eight,9,5,1459.98,1264.88,195.1,2,W2,9,,10,0
18,Free Roamers,redacted,Crank City,8,6,1457.8,1354,103.8,5,W2,3,B,27,0
19,I Deserve This,redacted,Crank City,11,3,1452.84,1200.62,252.22,1,W6,6,B-,4,0
20,My Team,redacted,Stump Field,9,5,1452.46,1195.5,256.96,2,W1,4,B-,7,0
21,Twistee,redacted,VRA 2022,9,5,1439.62,1222.9,216.72,4,W1,7,B,10,0
22,Commander? Just Met Her,redacted,Crank City,10,4,1433.78,1195.3,238.48,3,W1,9,C-,22,0
23,Steelers Super Bowl 2022,redacted,Stump Field,10,4,1426.74,1233.48,193.26,1,L2,5,C+,11,0
24,Big Blue Locomotive,redacted,Barn Szn Pass,6,8,1422.64,1384.48,38.16,6,L2,9,B,25,0
25,Who Dat? Blew Dat.,redacted,6 U Court,7,7,1422.3,1302.6,119.7,5,W3,10,B+,17,0
