Name,Team Name
redacted,Big Meaty Claws
redacted,Duck Duck Eagle
redacted,McDaniel Happy Meal
redacted,Firm Tugs
redacted,MosiTatupuMosiTatupu
redacted,Cheese
redacted,Run CMC
redacted,Chopper Sic Balls
redacted,Who Dat? Blew Dat.
redacted,Futbol is Life!
redacted,Washington O-5's
redacted,Denver Sharps
redacted,Go Go Nimrods!
redacted,Hulk Smash
redacted,Achilles Last Stand
redacted,My Team
redacted,Sack Lunch
redacted,The Brown Special
redacted,VT Hokies
redacted,Steelers Super Bowl 2022
redacted,Commander? Just Met Her
redacted,Chempossible
redacted,Ceedeez Nuts
redacted,Crew House South
redacted,Decker?Hardly Kno'er
redacted,Free Roamers
redacted,I Deserve This
redacted,Ninja Wartortles
redacted,Explain me this
redacted,Let Geno Cook
redacted,Allen's eleven
redacted,Babykinslovepantss
redacted,Bruiser's Best Team
redacted,Frenzied Zen
redacted,Is This Thing On?
redacted,Reigny Daze
redacted,Team Also-Ran
redacted,The Beez Knees
redacted,The Swarm
redacted,Wild Desert Pigs
redacted,Big Sister
redacted,Chase's Nice Team
redacted,Defend Brooklyn
redacted,Old as Wooden Oars
redacted,Panic Stations
redacted,Pointers
redacted,Sleep Deprived
redacted,To the Moon and Back
redacted,Football Cream
redacted,Who needs an ACL?
redacted,'Da Bones
redacted,Hoo's A Winner
redacted,globteamio
redacted,Goonies
redacted,3 Birdies + Cloudy
redacted,Lonestar State Dohn
redacted,BigRickNick
redacted,Rick made me do it
redacted,Nullachtfünfzehn
redacted,NC Bachelor
redacted,Adam's Team
redacted,Anneimals
redacted,Cured Limes
redacted,elbastardocalvo
redacted,Erin's Expert Team
redacted,Gevans's Team
redacted,Kristen's WaHoos
redacted,LBC Highlanders
redacted,MM's Team
redacted,Pus-Oozing Blisters
redacted,Sixually Transmitted TDs
redacted,Xoxo boys xoxo
redacted,Big Blue Locomotive
redacted,Chuck
redacted,Pretzel Nation
redacted,Deceptively Athletic
redacted,Chargers Medical Staff
redacted,Who Dat
redacted,Team Ranch Water
redacted,Riley Read Option
redacted,Twistee
redacted,Free Henry Ruggs
redacted,Spencer's Terrific Team
redacted,Matthew's Dazzling Team
redacted,Show Me Your TDs
redacted,Jackson's Slam-Dunk Team
redacted,DAKstreet's back
redacted,Mason Rudolph’s Helmet
redacted,Yummy Wummy Steady State
redacted,Marvin Hemeyer Memorial Team
